PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,Yield strength (MPa)
-0.9316516042821043,-1.955216427417404,0.8174856765780697,0.005771700006561228,-0.14878394514166324,-0.9326901892148273,-0.9661892155214266,0.15609092661402846,-0.03635899758999861,1.1592259716147228,-0.08180769994231567,-0.3325124355264093,-1.4197903109825154,-0.5052631343133064,0.325903060576901,-0.6310951159039844,-0.0072153532307472346,392.0
-0.7900986138124211,-1.5567930382854984,0.7047285753047433,0.0065171229231832245,-0.24008097795719358,-1.1435149729274325,-0.8072086755524001,0.5815080388558251,0.7601488474532613,0.6373196562719562,-0.8135321953424336,-1.3175589962433012,-0.6230287201592061,0.1514579822516764,0.6230825926239106,-0.4817410357449696,0.4765090343681291,370.0
-0.7608298813616617,-2.0189584613251172,0.7717785547942666,-0.20833848252920753,-0.11622913108740661,-0.6152173976746811,-1.0290609798999617,-0.19442327564510453,-0.013794914029860881,0.8134197046012009,0.23532721696110254,-0.4289377910856341,-1.0697016466858449,-0.5016621389409455,0.23726818859687895,-0.2574764194756518,0.06811562229844338,413.0
-0.6192768908919785,-1.6205350721932112,0.6590214535209403,-0.20759305961258553,-0.20752616390293693,-0.8260421813872861,-0.8700804399309353,0.23099383659669215,0.782712931013399,0.29151338925843445,-0.4963972784390154,-1.4139843518025261,-0.27294005586253556,0.15505897762403725,0.5344477206438887,-0.10812233931663708,0.5518400098973197,402.0
-0.4976100421202486,-2.0399617011374076,0.6487293587083548,-0.5329413233586539,-0.11244368940758255,-0.22161171481698155,-0.984236171385456,-0.5360080618878098,0.023464671439674123,0.3692118890781017,0.589212925333662,-0.5256185921742328,-0.7544695377579945,-0.4839817322742987,0.06719159909504077,0.210145828684384,0.10018249128151231,468.0
-0.35605705165056534,-1.6415383120055018,0.5359722574350283,-0.5321959004420318,-0.20374072222311285,-0.4324364985295866,-0.8252556314164295,-0.11059094964601318,0.819972516482934,-0.15269442626466473,-0.14251157006645593,-1.5106651528911248,0.042292053065314805,0.1727393842906841,0.3643711311420504,0.3594999088433988,0.5839068788803885,436.0
-0.33573249765378477,-2.055259167405377,0.5990734629067888,-0.6891328328982628,-0.0732447916958944,0.006209328809628004,-1.1414402299336361,-1.0329855370723902,-0.0044342865638622424,0.010784531209036776,0.9041808323352933,-0.5806289396429624,-0.3059457554531734,-0.4557899307993321,-0.056675489682578746,0.6332839604859952,0.13986040509084025,514.0
-0.19417950718410143,-1.656835778273471,0.4863163616334622,-0.6883874099816407,-0.1645418245114247,-0.204615454902977,-0.9824596899646098,-0.6075684248305936,0.7920735584793975,-0.5111217841337297,0.17245633693517531,-1.5656755003598544,0.49081583537013584,0.20093118576565067,0.24050404236443088,0.78263804064501,0.6235847926897164,479.0
-0.945765003040464,-2.0418566134370963,0.8564353477347131,0.3242400842672325,-0.013386283890967021,-0.7498483254318113,-1.2410025158021516,0.614746576911501,0.09601756539997597,0.6758438856580095,0.04358240391357462,0.05992785397838299,-1.4096551230306553,-0.4783798999236128,0.13725923768669326,-0.5666874419060821,0.1282586652814694,411.0
-0.8042120125707808,-1.6434332243051903,0.7436782464613867,0.3249855071838545,-0.10468331670649735,-0.9606731091444164,-1.0820219758331253,1.0401636891532975,0.8925254104432357,0.15393757031524302,-0.6881420914865434,-0.9251187067385086,-0.6128935322073461,0.17834121664136998,0.4344387697337029,-0.41733336174706726,0.6119830528803456,401.0
-0.7711605331554934,-2.0745985504056716,0.7885767740738412,0.0918212857601724,-0.0011020322341046343,-0.47692290156719347,-1.2611083662744034,0.23884743987511864,0.0943687699811111,0.3782203076798837,0.31893427346728376,-0.04395082767608763,-1.0938343427682033,-0.463964798494458,0.037813382202060285,-0.20444768149913956,0.1795309349578597,464.0
